directory,template,vsfiles,is_same,ASGard_completeness,generalization_completeness,ASGard_abstraction,generalization_abstraction,ASGard_variable_ratio,generalization_variable_ratio
java.util.Map, Template7, Map 51 vs 56, False, 0.7276306905339014, 0.8133333333333334,0.0975609756097561, 0.061224489795918366,0.07846153846153847, 0.05884615384615385
java.util.Map, Template8, Map 18 vs 12, True, 0.770096463022508, 0.9983922829581994,0.0, 0.0,0.0, 0.0
java.util.Map, Template9, Map 55 vs 54, False, 0.848314606741573, 0.9419475655430711,0.0, 0.045454545454545456,0.0, 0.043478260869565216
java.util.Properties, Template1, Properties 4 vs 10, False, 0.7648265170928026, 0.9063786779894019,0.17424242424242425, 0.03773584905660377,0.14375, 0.0375
java.util.Properties, Template2, Properties 31 vs 27, True, 0.8247863247863247, 0.9914529914529915,0.0, 0.0,0.0, 0.0
java.util.Properties, Template4, Properties 7 vs 18, False, 0.7698819676850552, 0.9592901878914405,0.03125, 0.023255813953488372,0.023255813953488372, 0.023255813953488372
java.util.Properties, Template5, Properties 30 vs 16, False, 0.19432888248691438, 0.23916301686955654,0.5588235294117647, 0.68,0.34961525593844095, 0.312813650050184
java.util.Properties, Template7, Properties 29 vs 25, True, 0.8545647558386412, 0.9989384288747346,0.0, 0.0,0.0, 0.0
java.util.Properties, Template8, Properties 26 vs 24, False, 0.782510649211177, 0.8922047097101101,0.06593406593406594, 0.07446808510638298,0.06311962987442168, 0.0736395681868253
java.util.Set, Template1, Set 23 vs 26, False, 0.1937139863803038, 0.25220350428261723,0.7142857142857143, 0.5714285714285714,0.44466403162055335, 0.3557312252964427
java.util.Set, Template3, Set 3 vs 22, False, 0.27801724137931033, 0.3212676098376313,0.6666666666666666, 0.4782608695652174,0.6428571428571428, 0.35357142857142854
javax.jms.JMSException, Template1, JMSException 14 vs 13, False, 0.7108501848227875, 0.9617414248021108,0.0, 0.04,0.0, 0.04083333333333333
javax.jms.JMSException, Template2, JMSException 10 vs 7, False, 0.5711752671061605, 0.7852618019246799,0.12, 0.0,0.06897463002114165, 0.0
javax.jms.JMSException, Template3, JMSException 15 vs 3, False, 0.7321520010780218, 0.935775734394519,0.047619047619047616, 0.0273972602739726,0.04035752979414951, 0.02690501986276634
javax.jms.JMSException, Template4, JMSException 2 vs 13, False, 0.20789355490680445, 0.71366395006069,0.125, 0.21052631578947367,0.05024509803921569, 0.20098039215686275
javax.jms.MessageConsumer, Template10, MessageConsumer 5 vs 41, False, 0.682488377617157, 0.9100308799076997,0.1, 0.008333333333333333,0.07662162952564777, 0.007662162952564778
javax.jms.MessageConsumer, Template11, MessageConsumer 29 vs 3, False, 0.8372015223014933, 0.9979526834104921,0.009345794392523364, 0.0,0.007751937984496124, 0.0
javax.jms.MessageConsumer, Template12, MessageConsumer 65 vs 63, False, 0.7975939849624061, 0.9264492753623188,0.03076923076923077, 0.013888888888888888,0.027071520029266508, 0.013535760014633254
javax.jms.MessageConsumer, Template2, MessageConsumer 33 vs 59, False, 0.6830231972204902, 0.838142150089596,0.11650485436893204, 0.07086614173228346,0.09116546762589928, 0.06837410071942446
